URL,MobileURL,Date,Title,Relevant
http://www.watchfox29.com/story/36754526/teenager-killed-playing-russian-roulette,,11/4/17 5:30,Teenager killed playing Russian roulette,T
http://www.wect.com/story/36754526/teenager-killed-playing-russian-roulette,,11/4/17 4:15,Teenager killed playing Russian roulette,T
http://www.WSFA.com/story/36754526/teenager-killed-playing-russian-roulette,,11/4/17 4:15,Teenager killed playing Russian roulette,T
http://www.wdam.com/story/36754526/teenager-killed-playing-russian-roulette,,11/4/17 4:15,Teenager killed playing Russian roulette,T
http://www.live5news.com/story/36754526/teenager-killed-playing-russian-roulette,,11/4/17 4:15,"Teenager killed playing Russian roulette - Live5News . com | Charleston , SC",T
http://www.fox19.com/story/36754526/teenager-killed-playing-russian-roulette,,11/4/17 5:15,Teenager killed playing Russian roulette,T
http://www.ksla.com/story/36754526/teenager-killed-playing-russian-roulette,,11/3/17 13:30,Teenager killed playing Russian roulette,T
http://www.hawaiinewsnow.com/story/36754526/teenager-killed-playing-russian-roulette,,11/4/17 16:00,Teenager killed playing Russian roulette - Hawaii News Now,T
http://www.WAFF.com/story/36754526/teenager-killed-playing-russian-roulette,,11/4/17 16:00,Teenager killed playing Russian roulette,T
http://www.nbc12.com/story/36754526/teenager-killed-playing-russian-roulette,,11/4/17 18:00,Teenager killed playing Russian roulette - NBC12 - WWBT,T
http://www.wtvm.com/story/36754526/teenager-killed-playing-russian-roulette,,11/4/17 17:45,Teenager killed playing Russian roulette,T
http://www.wbrc.com/story/36754526/teenager-killed-playing-russian-roulette,,11/4/17 17:30,Teenager killed playing Russian roulette - WBRC FOX6 News,T
http://www.tucsonnewsnow.com/story/36754526/teenager-killed-playing-russian-roulette,,11/4/17 18:15,Teenager killed playing Russian roulette,T
http://www.fox8live.com/story/36754526/teenager-killed-playing-russian-roulette,,11/4/17 22:00,Teenager killed playing Russian roulette,T
http://wkrg.com/2017/11/04/teen-and-grandmother-charged-after-pellet-rifle-shot-out-moving-car/,http://wkrg.com/2017/11/04/teen-and-grandmother-charged-after-pellet-rifle-shot-out-moving-car/amp/,11/4/17 20:30,Teen and Grandmother Charged after Pellet Rifle Shot out Moving Car,F
http://www.arkansasonline.com/news/2017/nov/03/accused-in-killing-of-girl-2-seeks-juve/,http://amp.arkansasonline.com/news/2017/nov/03/accused-in-killing-of-girl-2-seeks-juve/,11/3/17 9:00,"Accused in killing of girl , 2 , seeks juvenile status",T
http://abc22now.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 18:30,Teenager critically injured while playing Russian Roulette,T
http://local12.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 19:30,Teenager critically injured while playing Russian Roulette,T
http://keprtv.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 19:30,Teenager critically injured while playing Russian Roulette,T
http://www.foxnews.com/us/2017/11/02/teenager-critically-injured-while-playing-russian-roulette.html,http://www.foxnews.com/us/2017/11/02/teenager-critically-injured-while-playing-russian-roulette.amp.html,11/2/17 9:30,Teenager critically injured while playing Russian Roulette,T
http://www.wmdt.com/news/national/teenager-critically-injured-while-playing-russian-roulette/650844766,,11/2/17 10:45,Teenager critically injured while playing Russian Roulette,T
http://www.startribune.com/teenager-critically-injured-while-playing-russian-roulette/454648033/,http://m.startribune.com/teenager-critically-injured-while-playing-russian-roulette/454648033/,11/2/17 9:45,Teenager critically injured while playing Russian Roulette,T
http://klewtv.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 17:00,Teenager critically injured while playing Russian Roulette,T
http://turnto10.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 17:00,Teenager critically injured while playing Russian Roulette,T
http://foxreno.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 17:00,Teenager critically injured while playing Russian Roulette,T
http://katu.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 17:00,Teenager critically injured while playing Russian Roulette,T
http://khqa.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 17:00,Teenager critically injured while playing Russian Roulette,T
http://wchstv.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 17:00,Teenager critically injured while playing Russian Roulette,T
http://news4sanantonio.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 18:30,Teenager critically injured while playing Russian Roulette,T
http://ktvo.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 18:30,Teenager critically injured while playing Russian Roulette,T
http://wjactv.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 18:30,Teenager critically injured while playing Russian Roulette,T
http://wfxl.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 17:15,Teenager critically injured while playing Russian Roulette,T
http://foxillinois.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 17:15,Teenager critically injured while playing Russian Roulette,T
http://cnycentral.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 18:45,Teenager critically injured while playing Russian Roulette,T
http://bakersfieldnow.com/news/nation-world/teenager-critically-injured-while-playing-russian-roulette,,11/2/17 18:45,Teenager critically injured while playing Russian Roulette,T
